dept,code,title,credit,detail,prereq,crosslist_code
ARTS,ARTS 101,Introduction to Art,3,"The course is an interesting mix of theory and practice. Where students will not only be introduced to practice of art but will also dive into the process of art making and the mapping and documentation of creative process. What is art? Can one define art? Why and how is it significant? Can one learn to read and create art? are the questions that will be explored during this course. Students will learn to look at and define art through new perspectives such as art as expression (individual and art), art as depiction and celebration of beauty (art for the sake of art, arts function to beautify and embellish), art as the byproduct of fear (fear and creative process), art as resistance, Anything and everything is art (Marcel Duchamp), art as War (ISIS and Taliban, Zizek), art is violence (Francis Bacon, Ann Bogart), art is a tool (socially engaged art, instrumentalization of art by development organizations and state institutions), art is memory (mythologies, culture, stories and documentation), art is labor of love (Artivism, social engagement, art for social change), everyone is an artist (Joseph Buoys, art that can't be art, art works not created in the name of art). The course will focus on the design, context and means of art and art making by exposing students to the basic principles and elements of art as well as introducing them to different media such as painting, drawing, sculpture, performance, text, video, photography and installation.", ,
ARTS,ARTS 102,Painting I,3,"This is a studio course directed at teaching the fundamentals of painting. Students will learn to see color, shape, line and tone and to relate as well as use these elements together in a composition. The course will expose students to various media using traditional and experimental approaches in painting such as landscape, still life, figurative and non objective. Students will understand the symbolic significance of certain colors and their use in translating ideas. Various methods and techniques of applying paints will also be explored. Students will be encouraged to find their own style of painting which is more comfortable and personal to them for materializing their ideas in the form of paintings.", ,
ARTS,ARTS 103,Sculpture I,3,"This Introductory level course will teach students the basic elements, techniques and history of Sculpture. In order to learn the additive and subtractive or reductive processes students will explore various media such as wood constructions, clay modeling, plaster casting and stone carving thus will become familiar with the new method and technique specific to each material. Students will learn the handling and tools for each material and will explore the potential and limitations of the materials. The course focuses on the form whether representational or non-representational and its relationship to the space and viewer as well as its design.", ,
ARTS,ARTS 104,Photography I,3,"Camera is by far the most radical invention that changed the course of history. Images now dominate our world and we make sense of this world in and through images. This course is a combination of practice and theory that aims to help students learn the basics of photography such as understanding the camera and its functions, learning how to see, composition and translating ideas into visuals. This course will explore the role of cameras in the contemporary world and the concept of curation and archiving in visual culture. The main focus is on teaching students to dissect images in order to understand the power of an image and how and what makes a successful image successful. Students will be exposed to a variety of images from various genres in photography in order to understand the diversity of photography as a medium and also its agency as a medium by discussing canonical works as case studies through the course of time, thus being introduced to the history of photography as well.", ,
ARTS,ARTS 111,Drawing I-Fundamentals,3,"Drawing is the most essential tool for understanding the world as well as translating it in visual form. It remains the pivotal activity to the works of many artists. Drawing is the basis of it all, it is where exploration, development and refinement of ideas happen. This is a basic level course where students will learn mark making through various media in drawing as well as learn the elements and principles of image making such as line, shape, form, color, movement, perspective and composition. From drawing out of imagination and then gradually building on to drawing from observation the course will encourage the ways of looking such as various viewpoints and perspectives as well as the conscious use of all the elements and principles in drawing/designing a visual.", ,
ARTS,ARTS 121,Drawing II -Drawing Methods and Techniques,3,"This Course will teach advanced drawing methods and techniques that enhance the observation as well as help students draw realistically. They will be taught drawing with measurements, starting with the objects/still life and proportions in relationship to space both negative and positive. Students will also experiment with different media in drawing; they will be encouraged to find their choice of medium and also their style of drawing through extensive practical exercises and projects.",ARTS 111,
ARTS,ARTS 160,Theatre I- Introduction,3,"This course is process oriented and participatory. It focuses on the creative learning process by exposing students with various theatre making methodologies and techniques through practical workshops and training. It addresses all the stages of theatre production from gaining the technical skills in acting to developing the script. Students learn to improvise and perform on stage, and get the basic knowhow in (production) design and artistic management. The course brings in acting techniques from diverse backgrounds, western (Boal, Stanislavsky, Brook) as well south Asian. Importantly, the course strengthens the practice with theoretical knowledge for the intellectual growth of the students. Majorly focusing on the historic trends and developments in theatre tradition both global and local, the course also touches upon the theoretical perspectives of performance studies at the basic level.", ,
ARTS,ARTS 200,History of Art IN-Prehistoric to Renaissance,3,"We understand the history of humanity through art. From prehistoric depictions of wild beasts to contemporary abstraction, artists have addressed their time, place in history, and have expressed universal human truths for tens of thousands of years. This course chronologically traces human creativity from as early as 40,000 years ago up till the Renaissance, providing a systematic exploration of major civilizations and their culture, social structure, technology, iconography and architecture. The aim of this course is to acquaint students with visual imagery from prehistoric and ancient civilizations, spanning about 40,000 years. Students will develop skills in image recognition, vocabulary formation, and the use of visual evidence in argument and interpretation.", ,
ARTS,ARTS 201,History of Art II-Renaissance to Contemporary,3,"The study of the history of art cultivates a deep understanding of humanity’s fundamental need to create. It traces how artists across various time periods and regions responded to their environment, society, and religion, and thereby produced artworks of lasting resonance and insight into the cultural practices of the time. This course is like a time travel that constantly moves back and forth through the windows of time in order to understand the canonical works of art and as to why, when and where they were created, furthermore making connections to the present. It aims to instill in them the analytical approach needed to understand why and how things have shaped through the course of time. The course encourages students to compare periods, styles, materials and subjects etc. and to make connections. Within each chronologically set period, discussions will be thematic with particular attention to portraiture, religion, resistance, wars, technology, gender identities and the role of the artist in society. In addition, frequent connections will be made with contemporary art, with the aim that students will learn to not only stay linked to art being made today, but to also derive inspiration and relevance from the content studied in the course. The course will, through assignments, introduce students to not just writing about art, but also creative formalization of their ideas. More importantly, this course aims to make history a relevant tool for students to understand visual culture through connecting past and present.", ,
ARTS,ARTS 202,Theatre II: Improvisation and Devising,3,"The course focuses on exploring the body as a tool for acting. The aim of this course is to have sufficient knowledge of the body and to be able to improvise a performance with and without script. Students will warm up with yoga and theatre exercises. They will be introduced to inhibition breaking and trust building exercises. The students will learn interpretative skills (devise a character in a situation and engage with other characters in that situation in order to create sense of reality) Technical skills (voice, movement, speech etc) and Knowledge of the improvisation and devising process (to be able to improvise and devise scenes for both un scripted and scripted performance). The students will improvise solo and group performances in class in order to learn above skills and will have discussions about the performances. The course will expose and engage students in Improvisation games to justify the character through performance as well as understand and show commitment to the imaginary circumstances in order to create convincing realities.",ARTS 160,
ARTS,ARTS 211,Drawing III- Advanced Drawing,3,"This course focuses on developing the skills to observe and draw the human figure, and may involve the study of nature, plants, animals and objects in their environment. It develops a better understanding of anatomical and muscular structure, proportion, and rendering of form. Students will learn the basic human anatomy, major joints to understand the form of the human body in various poses and the role and engagement of muscles and joints. The course will focus on the realistic translation of the human form composed in different spaces with relation to various objects and architectural structures serving as backdrop. Emphasis is laid on developing observation, memory, perceptual skills, and individual style or way of expression.",ARTS 111 or ARTS 121,
ARTS,ARTS 300,Images of Terror: Violence in Visual Culture,3,"The course focuses on performance and the discourse on the interplay of art and violence. It examines the inevitability of violence in our daily lives. We experience, talk, fear, consume and even produce violence unconsciously. We produce more violence even while trying to counter violence. Thus, the course creates a debate around questions that link human aesthetics to the experience of horror and terror: How and when violence became an integral part of our popular visual culture? Has the wave of terror changed our aesthetics? Do horror and violence together intrigue, thrill and entertain us? In order to answer these questions the course looks at the discourse between art and violence, and their interplay. It looks into the aesthetics of intimidation, fear and resistance by going through art projects such as the post-9/11 works of Pakistani artist, Marina Abramovic’s Rhythm, Tania Bruguera Self Sabotage, ISIS and Taliban released videos and images, media coverage of bomb blasts, and political performances around the world after Arab Spring, Occupy Wall Street movement, hate graffiti and military parades, as well as Hollywood movies like Saw and Pakistani movies like Maula Jutt and Waar.", ,
ARTS,ARTS 301,Performance Art,3,"The course will explore the body as a medium and also as a site of performance. Students will learn the potential of the body interacting with space and objects and the awareness of this interaction through practice across three key areas: text/theory, body/ movement and materials/space. Students will practice and create small pieces throughout the course. By incorporating theoretical knowledge of key issues in and around performance, methods of reflective practice and processes of documentation and criticism students will be engaged in debates and will learn to theorize their creative process.", ,
ARTS,ARTS 400,The Social Turn: Art and Social Practice,3,"Social turn was first used in 2006 to describe the recent return to socially engaged art that is collaborative, often participatory and involves people as the medium or material of the work. The course is an artistic exploration of socially engaged art through practice and theory. This course will include the key critical and disciplinary debates in order to understand art which involves people and communities in debates, collaboration, or social interaction. The students will understand the meaning of collaboration as well as the significance of participation of communities in making art and how it guides the creative process. They will study and explore the term Artivism as well as look at the development art and its discourses critically. Students will also understand practice through engagement by collaborating with communities and designing research backed art projects. The primary aim of this course is to investigate the conception, process and materialization of art within a society and its impact on society. Students will be engaged in debates concerning ethics of public interventions and creative collaboration and in some cases its discontents.", ,
BIOL,BIOL 100,Introductory Biology,4,"Only for students who have not studied Biology in higher secondary school or A level or equivalent The course includes basic concepts of biology with cell as a building block, its function, reproduction, genetics, inheritance, principles of living systems, classification of plants and animals. The course is designed to provide to the non- science students and overview of modern biology and to elucidate its importance in everyday life. How human beings depend upon other organisms, which fundamental processes are essential for living organisms? How digestion, circulation takes place? How DNA controls heredity characters? This course will answer all such questions.", ,
BIOL,BIOL 102,Introductory Plant Biology,4,"Only for students who have studied Biology in higher secondary school/A -Level or equivalent This course covers the structure-function relationship of plants, basic principles of genetics and molecular genetics and Biotechnology as well as its use in modifying plants. Ecosystems, environmental issues and the relevance of flowering plants in human life are also examined.", ,
