program,nature,details,req,other,co_co,el_co,to_cr,co_cr,el_cr,to_co,co_co,el_co
Biblical Language (Biblical Hebrew),certification,"Anyone who is not enrolled in the baccalaureate program and wishes to gain proficiency in a biblical language (either Koine Greek, the language of the Christian New Testament or biblical Hebrew, the language of the Christian Old Testament) may earn a Certificate in Biblical Language through the Department of Religious Studies. This affords opportunities for students and others to study the Hebrew or Greek languages without the burden of pursuing a major in Christian Studies. This might be especially helpful for post-graduate students who feel their post-graduate research would be enriched through the acquisition of Hebrew or Greek or professors of religious studies who wish to expand their knowledge of the Bible. The Certificate consists of 6 courses (18 credits) in either the Hebrew or Greek language.","1 elective course from CRST 421, CRST 422
1 elective course from CRST 431",,"CRST 231
CRST 232
CRST 331
CRST 332","CRST 421
CRST 422
CRST 431
CRST 435",18,12,6,6,4,3
Biblical Language (New Testament Greek),certification,"Anyone who is not enrolled in the baccalaureate program and wishes to gain proficiency in a biblical language (either Koine Greek, the language of the Christian New Testament or biblical Hebrew, the language of the Christian Old Testament) may earn a Certificate in Biblical Language through the Department of Religious Studies. This affords opportunities for students and others to study the Hebrew or Greek languages without the burden of pursuing a major in Christian Studies. This might be especially helpful for post-graduate students who feel their post-graduate research would be enriched through the acquisition of Hebrew or Greek or professors of religious studies who wish to expand their knowledge of the Bible. The Certificate consists of 6 courses (18 credits) in either the Hebrew or Greek language.","1 elective course from CRST 441, CRST 442
1 elective course fromCRST 475, CRST 476",,"CRST 271
CRST 272
CRST 371
CRST 372","CRST 441
CRST 442
CRST 475
CRST 476",18,12,6,6,4,3
Bachelor of Studies (Hons),degree,"The following majors are offered within this degree: Biological Sciences, Chemistry, Christian Studies, Economics, Education, English, Environmental Sciences, History, Human Geography, Islmaic Studies, Linguistics, Mass Communication, Mathematics, Philosophy, Physical Geography, Physics, Psycology, Sociology, Sociology and Cultural Studies, Statistics, Urdu.

The following minors are offered within this degree: Biblical Language (Biblical Hebrew), Biblical Language (New Testament Greek), Biological Sciences, Chemistry, Christian Studies, Criminology, Data Analysis, Education, English, Environmental Sciences, Geography, History, Islmaic Studies, Linguistics, Mass Communication, Mathematics, Mathematics and Statistics, Philosophy, Physics, Political Science, Psycology, Sociology, Statistics, Urdu.

View their details in the ""Major"" or ""Minor"" section","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

In addition, a minimum of one major must be studied. 

Major Requirements:
Major CGPA > 2.0
Completion of all core and elective courses",,,,,,,,,
Bachelor of Studies (Hons) Biotechnology,degree,"A graduate in Biotechnology from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain the basic techniques used in biotechnology; Be able to analyze and interpret the experimental data; Demonstrate the use of various biotechnological processes for economic development; Be able to assess various biotechnological applications from ethical point of view.

View details from ""Major"" section",,,,,,,,,,
Bachelor of Studies (Hons) Business,degree,"A graduate in Business Studies from FCCU is expected to have, at the time of his/her graduation, the ability to: Describe key concepts and theory of best practice in management, finance, and marketing; Demonstrate technical rigor for analysis and decision making in business; Apply leadership skills for effective future business management; Analyze the demands of the local environment and apply business skills and tools to the real world; Employ interpersonal and communications skills required by effective managers; Consistently use values and ethics in a business environment; Describe entrepreneurial career opportunities that serve the needs of Pakistan and the international community.

The degree consists of 4 specialization:
Operations Management,
Accounting and Finance,
Marketing and Sales,
Human Resource Management.

View their details in the ""Specialization"" section.",,,,,,,,,,
Bachelor of Studies (Hons) Computer Science,degree,"A graduate in Computer Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Effectively apply knowledge and skills of computing to real world problems; Display core values on moral, ethical, legal and professional issues; Work collaboratively in teams and demonstrate appropriate leadership; Communicate effectively about computing and professional issues; Engage in self-directed learning and research to continuously update their own knowledge.",,,,,,,,,,
Doctor of Pharmacy (PharmD),degree,"A graduate in Pharmacy from FCCU is expected to have, at the time of his/her graduation, the ability to: Develop trained and skilled graduates to excel in dosage form design, formulation development, manufacture / dispensing of quality & safe medications for use by the patients, and innovations in drug delivery; Develop trained and skilled graduates capable to implement patient care plans and pursue discovery & development of new drug molecules; Develop professional skills and management abilities in the students to excel in clinical, hospital, community, nuclear pharmacy settings, regulatory agencies, marketing, and research; Develop and train the students to excel in drug discovery, quality control of pharmaceutical products, and synthesis of drug substances; Develop and train the students to excel in the isolation & characterization of phytochemicals, production and standardization of natural products; To prepare pharmacy graduates having the understanding of basic principles of Pharmacy ethics; To prepare graduates as professionals and researchers to cultivate highly competent pharmacy practitioners.",,,,,,,,,,
Biotechnology,major,"A graduate in Biotechnology from FCCU is expected to have, at the time of his/her graduation, the ability to: Explain the basic techniques used in biotechnology; Be able to analyze and interpret the experimental data; Demonstrate the use of various biotechnological processes for economic development; Be able to assess various biotechnological applications from ethical point of view.

Students who have not studied Biology at higher secondary school/A-levels/equivalent must take BIOL 100,
Students who have not studied Chemistry at higher secondary school/A-levels/equivalent must take CHEM 100,
Students who have not studied Physics at higher secondary school/A-levels/equivalent must take PHYS 100.","General Requirements:
CGPA > 2.0
Total credits > 124
number of 300/400 level courses > 12

Note: General Education requirement of 1 science lab course and 1 course from any domain is covered by the core courses

Degree Requirements:
BIOT/BIOL CGPA > 2.0
Completion of all core and elective courses",,"BIOL 201
BIOL 203
BIOL 313
BIOL 315
BIOT 201
BIOT 202
BIOT 301
BIOT 302
BIOT 313
BIOT 314
BIOT 408
BIOT 411
BIOT 412","BIOL 207
BIOL 208
BIOL 212
BIOL 221
BIOL 222
BIOL 306
BIOL 319
BIOL 323
BIOL 325
BIOL 327
BIOL 328
BIOL 329
BIOL 330
BIOL 403
BIOL 404
BIOL 408
BIOL 411
BIOL 412
BIOL 413
BIOL 414
BIOL 415
BIOL 416
BIOL 469
BIOL 473
BIOL 495
BIOL 495
BIOT 211
BIOT 305
BIOT 307
BIOT 309
BIOT 315
BIOT 316
BIOT 407
BIOT 409
BIOT 413
BIOT 498
BIOT 499",64,45,19,21,13,8
Computer Science,major,"A graduate in Computer Science from FCCU is expected to have, at the time of his/her graduation, the ability to: Effectively apply knowledge and skills of computing to real world problems; Display core values on moral, ethical, legal and professional issues; Work collaboratively in teams and demonstrate appropriate leadership; Communicate effectively about computing and professional issues; Engage in self-directed learning and research to continuously update their own knowledge.","General Requirements:
CGPA > 2.0
Total credits > 132
number of 300/400 level courses > 12

Note: General Education requirement of 1 science lab course, 1 math course, 1 computer course and 1 course from any domain are covered by the core courses

Degree Requirements:
CSCS/COMP CGPA > 2.0
Completion of all core and elective courses",,"COMP 102
COMP 111
COMP 113
COMP 200
COMP 206
COMP 213
COMP 220
COMP 300
COMP 301
COMP 302
COMP 303
COMP 311
COMP 360
COMP 401
COMP 410
COMP 421
COMP 451
COMP 497
MATH 111
STAT 115
CSCS 105
CSCS 201
CSCS 202
CSCS 203
CSCS 320","CSCS 210
CSCS 290
CSCS 306
CSCS 313
CSCS 324
CSCS 342
CSCS 351
CSCS 352
CSCS 365
CSCS 367
CSCS 403
CSCS 405
CSCS 440
CSCS 450
CSCS 453
CSCS 455
CSCS 457
CSCS 461
CSCS 464
CSCS 466
CSCS 468
CSCS 470
CSCS 475",92,80,12,29,25,4
Pharmacy,major,"A graduate in Pharmacy from FCCU is expected to have, at the time of his/her graduation, the ability to: Develop trained and skilled graduates to excel in dosage form design, formulation development, manufacture / dispensing of quality & safe medications for use by the patients, and innovations in drug delivery; Develop trained and skilled graduates capable to implement patient care plans and pursue discovery & development of new drug molecules; Develop professional skills and management abilities in the students to excel in clinical, hospital, community, nuclear pharmacy settings, regulatory agencies, marketing, and research; Develop and train the students to excel in drug discovery, quality control of pharmaceutical products, and synthesis of drug substances; Develop and train the students to excel in the isolation & characterization of phytochemicals, production and standardization of natural products; To prepare pharmacy graduates having the understanding of basic principles of Pharmacy ethics; To prepare graduates as professionals and researchers to cultivate highly competent pharmacy practitioners.","Requirements:
CGPA > 2.0
Total credits > 204
All courses should have a minimum of D-",,"PHRM 101
PHRM 102
PHRM 103
PHRM 104
PHRM 105
PHRM 106
PHRM 107
PHRM 108
PHRM 110
PHRM 111
PHRM 112
PHRM 113
PHRM 114
PHRM 115
PHRM 116
PHRM 117
PHRM 118
PHRM 210
PHRM 211
PHRM 212
PHRM 213
PHRM 214
PHRM 215
PHRM 216
PHRM 217
PHRM 218
PHRM 219
PHRM 310
PHRM 311
PHRM 312
PHRM 313
PHRM 314
PHRM 315
PHRM 316
PHRM 317
PHRM 318
PHRM 319
PHRM 350
PHRM 351
PHRM 352
PHRM 353
PHRM 354
PHRM 355
PHRM 356
PHRM 357
PHRM 358
PHRM 359
PHRM 410
PHRM 411
PHRM 412
PHRM 453
PHRM 454
PHRM 455
PHRM 456
PHRM 457
PHRM 458
PHRM 459",,206,206,0,50,50,0
